,value.Total.Energy.Emissions..CO2...Energy.,VALUE
value.Burning...all.categories.Emissions..N2O...Burning...savanna.,0.104620143,FALSE
value.Sorghum.Emissions..N2O...Crop.residues.,0.104717414,FALSE
value.Sorghum.Indirect.emissions..CO2eq...Crop.residues.,0.105005131,FALSE
value.Sorghum.Residues..Crop.residues.,0.105005131,FALSE
value.Sorghum.Direct.emissions..CO2eq...Crop.residues.,0.105005131,FALSE
value.Sorghum.Emissions..CO2eq...Crop.residues.,0.105679631,FALSE
value.Burning...all.categories.Emissions..CH4...Burning...savanna.,0.107257976,FALSE
value.Burning...all.categories.Emissions..CO2eq..from.N2O..Burning...savanna.,0.107257976,FALSE
value.Burning...all.categories.Emissions..CO2eq...Burning...savanna.,0.107352987,FALSE
value.Burning...all.categories.Emissions..CO2eq..from.CH4..Burning...savanna.,0.107447854,FALSE
value.Burning...all.categories.Biomass.burned..dry.matter.,0.110292995,FALSE
value.Mules.Implied.emission.factor.for.N2O..Manure.management.,0.112393471,FALSE
value.Camels.Emissions..N2O...Manure.management.,0.112393471,FALSE
value.Camels.Direct.emissions..N2O...Manure.management.,0.114167888,FALSE
value.Sheep.and.Goats.Indirect.emissions..N2O...Manure.management.,0.11602921,FALSE
value.Open.shrubland.Implied.emission.factor.for.CH4..Burning...savanna.,0.122554792,FALSE
value.Grassland.Emissions..N2O...Burning...savanna.,0.13112136,FALSE
value.Fuel.oil.used.in.fisheries.Consumption.in.Agriculture,0.13112136,FALSE
value.Fuel.oil.used.in.fisheries.Emissions..CH4...Energy.,0.13112136,FALSE
value.Fuel.oil.used.in.fisheries.Emissions..CO2eq..from.CH4..Energy.,0.13112136,FALSE
value.Fuel.oil.used.in.fisheries.Emissions..CO2eq..from.N2O..Energy.,0.13112136,FALSE
value.Fuel.oil.used.in.fisheries.Emissions..CO2...Energy.,0.13112136,FALSE
value.Fuel.oil.used.in.fisheries.Emissions..CO2eq...Energy.,0.131241231,FALSE
value.Fuel.oil.used.in.fisheries.Emissions..N2O...Energy.,0.133383138,FALSE
value.Synthetic.Nitrogen.fertilizers.Implied.emission.factor.for.N2O..Synthetic.fertilizers.,0.138664539,FALSE
value.Energy.for.power.irrigation.Implied.emission.factor.for.CO2,0.145688772,FALSE
value.Grassland.Emissions..CH4...Burning...savanna.,0.152276554,FALSE
value.Grassland.Biomass.burned..dry.matter.,0.152302344,FALSE
value.Grassland.Emissions..CO2eq...Burning...savanna.,0.152557164,FALSE
value.Grassland.Emissions..CO2eq..from.CH4..Burning...savanna.,0.152603483,FALSE
value.Grassland.Emissions..CO2eq..from.N2O..Burning...savanna.,0.159738764,FALSE
value.Grassland.Burned.Area,0.168628242,FALSE
value.Chickens..broilers.Implied.emission.factor.for.N2O..Manure.management.,0.168628242,FALSE
value.Chickens..layers.Implied.emission.factor.for.N2O..Manure.management.,0.17087672,FALSE
value.Buffaloes.Indirect.emissions..CO2eq...Manure.management.,0.186479216,FALSE
value.Turkeys.Implied.emission.factor.for.N2O..Manure.on.pasture.,0.187638285,FALSE
value.Closed.shrubland.Emissions..N2O...Burning...savanna.,0.189246083,FALSE
value.Gas.diesel.oils.used.in.fisheries.Consumption.in.Agriculture,0.189246083,FALSE
value.Gas.diesel.oils.used.in.fisheries.Emissions..CH4...Energy.,0.189246083,FALSE
value.Gas.diesel.oils.used.in.fisheries.Emissions..CO2eq..from.CH4..Energy.,0.189246083,FALSE
value.Gas.diesel.oils.used.in.fisheries.Emissions..N2O...Energy.,0.189246083,FALSE
value.Gas.diesel.oils.used.in.fisheries.Emissions..CO2eq..from.N2O..Energy.,0.189246083,FALSE
value.Gas.diesel.oils.used.in.fisheries.Emissions..CO2...Energy.,0.189246083,FALSE
value.Gas.diesel.oils.used.in.fisheries.Emissions..CO2eq...Energy.,0.200280029,FALSE
value.Closed.shrubland.Burned.Area,0.200943957,FALSE
value.Closed.and.open.shrubland.Emissions..N2O...Burning...savanna.,0.201239958,FALSE
value.Closed.shrubland.Biomass.burned..dry.matter.,0.201386913,FALSE
value.Closed.shrubland.Emissions..CO2eq..from.N2O..Burning...savanna.,0.201448706,FALSE
value.Closed.shrubland.Emissions..CO2eq..from.CH4..Burning...savanna.,0.201553814,FALSE
value.Closed.shrubland.Emissions..CO2eq...Burning...savanna.,0.203788149,FALSE
